fecha,equipo,rival,entrenador,alineacion,goles_a_favor,goles_en_contra,resultado,puntos,puntos_acumulados,resultado_texto,estadio,ciudad,capacidad,altitud,disparos,disparos_al_arco,posesion,pases,pases_completados_en_porcentaje,faltas,tarjetas_amarillas,tarjetas_rojas,offsides,corners,jornada
2023-09-07,Paraguay,Peru,Guillermo Barros Schelotto,4-3-3,0,0,0-0,1,1,Empate,Estadio Antonio Aranda,Ciudad del Este,28000,185,19,6,60,429,85,19,0,0,0,11,01
2023-09-07,Peru,Paraguay,Juan Reynoso,4-2-3-1,0,0,0-0,1,1,Empate,Estadio Antonio Aranda,Ciudad del Este,28000,185,5,0,40,309,75,13,1,1,2,1,01
2023-09-07,Colombia,Venezuela,Nestor Lorenzo,4-3-3,1,0,1-0,3,3,Victoria,Estadio Metropolitano,Barranquilla,46692,59,13,4,71,578,87,13,0,0,3,2,01
2023-09-07,Venezuela,Colombia,Fernando Batista,4-3-3,0,1,0-1,0,0,Derrota,Estadio Metropolitano,Barranquilla,46692,59,7,2,29,237,68,19,1,0,1,4,01
2023-09-07,Argentina,Ecuador,Lionel Scaloni,4-3-3,1,0,1-0,3,3,Victoria,Estadio Mas Monumental,Buenos Aires,85018,82,13,4,71,710,87,9,1,0,2,4,01
2023-09-07,Ecuador,Argentina,Felix Sanchez Bas,5-3-2,0,1,0-1,0,0,Derrota,Estadio Mas Monumental,Buenos Aires,85018,82,5,3,29,294,72,13,1,0,1,2,01
2023-09-08,Uruguay,Chile,Marcelo Bielsa,4-3-3,3,1,3-1,3,3,Victoria,Estadio Centenario,Montevideo,60235,141,18,7,51,440,80,17,4,0,1,3,01
2023-09-08,Chile,Uruguay,Eduardo Berizzo,4-4-2,1,3,1-3,0,0,Derrota,Estadio Centenario,Montevideo,60235,141,7,2,49,432,77,16,5,0,1,3,01
2023-09-08,Brazil,Bolivia,Fernando Diniz,4-2-3-1,5,1,5-1,3,3,Victoria,Mangueirão,Pará,53635,748,21,11,80,614,92,6,1,0,1,6,01
2023-09-08,Bolivia,Brazil,Gustavo Costas,5-4-1,1,5,1-5,0,0,Derrota,Mangueirão,Pará,53635,748,4,3,20,156,70,14,2,0,4,1,01
2023-09-12,Bolivia,Argentina,Gustavo Costas,5-3-2,0,3,0-3,0,0,Derrota,Estadio Hernando Siles,La Paz,41143,11975,4,2,40,327,73,23,4,1,1,1,02
2023-09-12,Argentina,Bolivia,Lionel Scaloni,4-3-3,3,0,3-0,3,6,Victoria,Estadio Hernando Siles,La Paz,41143,11975,15,8,60,482,81,10,0,0,1,4,02
2023-09-12,Ecuador,Uruguay,Felix Sanchez Bas,5-3-2,2,1,2-1,3,0,Victoria,Casa Blanca,Quito,41575,9350,15,4,50,347,80,12,2,0,0,10,02
2023-09-12,Uruguay,Ecuador,Marcelo Bielsa,4-2-3-1,1,2,1-2,0,3,Derrota,Casa Blanca,Quito,41575,9350,5,2,50,353,77,18,3,0,2,2,02
